Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,251788329,3230.316573,3286740,42.16720741,514819,5077907,65.14697168,50329,0.645695547,7508
United States of America,Americas,46501534,14048.689,532594,160.903,87871,752960,227.479,8562,2.587,1350
India,South-East Asia,34414186,2493.774,80432,5.828,12516,462690,33.528,2817,0.204,501
Brazil,Americas,21909298,10307.376,73513,34.585,12273,610036,286.996,1801,0.847,280
The United Kingdom,Europe,9448406,13918.047,240183,353.803,42401,142533,209.959,1138,1.676,195
Russian Federation,Europe,8992595,6162.078,278000,190.496,40123,252926,173.315,8479,5.81,1235
Turkey,Europe,8340322,9889.038,189614,224.823,24898,72910,86.449,1384,1.641,197
France,Europe,7030401,10809.456,64261,98.803,12504,115630,177.785,199,0.306,17
Iran (Islamic Republic of),Eastern Mediterranean,6019947,7167.205,55123,65.628,7539,127809,152.166,888,1.057,123
Argentina,Americas,5300985,11728.94,8436,18.665,1567,116184,257.068,155,0.343,19
Spain,Europe,5042803,10653.971,18393,38.859,4286,87647,185.173,106,0.224,30
Colombia,Americas,5021619,9868.973,14520,28.536,2461,127640,250.851,260,0.511,30
Germany,Europe,4942890,5943.352,233402,280.644,48640,97389,117.101,1043,1.254,191
Italy,Europe,4835435,8107.502,46039,77.193,8569,132618,222.359,335,0.562,67
Indonesia,South-East Asia,4250157,1553.854,2837,1.037,399,143628,52.51,109,0.04,20
Mexico,Americas,3834815,2974.275,20362,15.793,3556,290374,225.214,1487,1.153,264
Ukraine,Europe,3179577,7270.303,146626,335.27,24058,75607,172.88,4765,10.895,750
Poland,Europe,3175769,8366.504,99251,261.475,12965,78555,206.952,1008,2.656,31
South Africa,Africa,2924978,4931.787,1924,3.244,356,89452,150.824,201,0.339,17
Philippines,Western Pacific,2811248,2565.45,15606,14.242,1974,44866,40.943,1041,0.95,201
Malaysia,Western Pacific,2528821,7813.202,36478,112.705,6323,29535,91.253,380,1.174,49
Netherlands,Europe,2253031,12942.812,86374,496.186,16364,18663,107.212,166,0.954,26
Peru,Americas,2210129,6703.078,6819,20.681,1238,200532,608.191,206,0.625,30
Iraq,Eastern Mediterranean,2066905,5138.679,6839,17.003,863,23445,58.288,174,0.433,30
Thailand,South-East Asia,2004274,2871.454,52702,75.504,7305,19934,28.559,392,0.562,51
Czechia,Europe,1866969,17458.198,65707,614.432,10395,31355,293.203,338,3.161,28
Canada,Americas,1740005,4610.243,17435,46.195,2616,29249,77.497,154,0.408,32
Romania,Europe,1730433,8952.597,45169,233.687,5416,52206,270.094,2602,13.462,318
Japan,Western Pacific,1724938,1363.841,1339,1.059,220,18323,14.487,27,0.021,5
Chile,Americas,1718085,8987.586,16769,87.721,2733,37917,198.35,123,0.643,22
Bangladesh,South-East Asia,1571906,954.467,1421,0.863,0,27907,16.945,20,0.012,0
Belgium,Europe,1463548,12701.719,42538,369.175,0,26261,227.912,122,1.059,0
Israel,Europe,1336284,15438.48,3181,36.751,391,8138,94.021,16,0.185,0
Pakistan,Eastern Mediterranean,1278751,578.902,3593,1.627,637,28575,12.936,79,0.036,9
Serbia,Europe,1201080,17339.846,32472,468.794,3998,10655,153.825,452,6.525,60
Sweden,Europe,1181532,11440.54,5285,51.174,1019,15078,145.997,10,0.097,0
Portugal,Europe,1102438,10707.534,8390,81.489,1477,18231,177.07,47,0.456,9
Kazakhstan,Europe,1035051,5512.42,9061,48.257,1412,17461,92.993,198,1.054,32
Viet Nam,Western Pacific,1000897,1028.263,54854,56.354,8162,22849,23.474,507,0.521,84
Cuba,Americas,957735,8455.615,3393,29.956,403,8278,73.084,26,0.23,4
Morocco,Eastern Mediterranean,947761,2567.723,804,2.178,0,14729,39.905,31,0.084,0
Hungary,Europe,939784,9619.546,47620,487.434,8370,31867,326.188,683,6.991,116
Austria,Europe,921506,10352.762,67939,763.268,12309,11286,126.794,111,1.247,10
Switzerland,Europe,901270,10413.747,16297,188.304,4,10873,125.632,32,0.37,0
Jordan,Eastern Mediterranean,883446,8658.575,12941,126.834,0,11167,109.447,79,0.774,0
Nepal,South-East Asia,816415,2802.006,2126,7.297,355,11469,39.363,31,0.106,3
Greece,Europe,815068,7604.264,47692,444.948,6771,16560,154.498,409,3.816,67
Georgia,Europe,775826,19448.282,32315,810.067,4445,10816,271.134,516,12.935,77
United Arab Emirates,Eastern Mediterranean,740729,7489.372,520,5.258,82,2142,21.657,5,0.051,0
Tunisia,Eastern Mediterranean,715396,6053.127,2242,18.97,0,25294,214.018,27,0.228,0
Bulgaria,Europe,650063,9351.43,26117,375.704,3207,25950,373.302,1195,17.191,196
Lebanon,Eastern Mediterranean,648782,9505.344,4391,64.333,0,8561,125.428,33,0.483,0
Belarus,Europe,621689,6579.192,13658,144.539,1981,4805,50.85,109,1.154,16
Guatemala,Americas,607497,3390.889,3856,21.523,754,15578,86.952,297,1.658,58
Costa Rica,Americas,563610,11063.937,2178,42.755,320,7183,141.006,72,1.413,7
Azerbaijan,Europe,554096,5464.902,14386,141.885,1774,7372,72.708,190,1.874,30
